"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @TheBookworm412: I think @imkennedyholmes gave the best performance of the night. That was amazing. She’s only 13? That’s insane. #TheVo…",FALSE,0,NA,2018-11-28 10:23:28,FALSE,NA,"1067725658032414720",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","duchessfoxy",12,TRUE,FALSE,NA,NA
"@blakeshelton #TheVoice sorry I meant Kirt for the Charlie Pride song.",FALSE,0,"blakeshelton",2018-11-28 10:23:28,FALSE,NA,"1067725657424216064","14920785","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrnorris50",0,FALSE,FALSE,NA,NA
"WHOO HOO!!! I was🤞, then😆 when @davefenley's name was called! 
The man can sing anything &amp; sound fantastic!  I luv… https://t.co/3M5deePT3p",FALSE,0,"Earthengal2",2018-11-28 10:22:35,TRUE,"1067725430231199744","1067725433448259584","940459204027998209","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Earthengal2",0,FALSE,FALSE,NA,NA
"WHOO HOO!!! I was🤞, then😆 when @davefenley's name was called! 
The man can sing anything &amp; sound fantastic!  I luv… https://t.co/AGRNqAh7eu",FALSE,0,NA,2018-11-28 10:22:34,TRUE,NA,"1067725430231199744",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Earthengal2",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice good luck next week",FALSE,0,"kelly_clarkson",2018-11-28 10:19:22,FALSE,NA,"1067724625235238913","23690344","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RogerStonePeru",0,FALSE,FALSE,NA,NA
"@blakeshelton #TheVoice Blake I would love to hear Chris sing. You're so good when your bad. By Charlie Rich.",FALSE,0,"blakeshelton",2018-11-28 10:19:01,FALSE,NA,"1067724537410793472","14920785","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrnorris50",0,FALSE,FALSE,NA,NA
"@blakeshelton #TheVoice good luck next week",FALSE,0,"blakeshelton",2018-11-28 10:18:57,FALSE,NA,"1067724518393753600","14920785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RogerStonePeru",0,FALSE,FALSE,NA,NA
"@adamlevine #TheVoice good luck next week",FALSE,0,"adamlevine",2018-11-28 10:18:37,FALSE,NA,"1067724437774979072","58528137","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RogerStonePeru",0,FALSE,FALSE,NA,NA
"@IAMJHUD #TheVoice good luck next week",FALSE,0,"IAMJHUD",2018-11-28 10:18:24,FALSE,NA,"1067724379507683328","33990291","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RogerStonePeru",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice so sorry you lost a good one ....",FALSE,0,"kelly_clarkson",2018-11-28 10:18:08,FALSE,NA,"1067724313833308161","23690344","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RogerStonePeru",0,FALSE,FALSE,NA,NA
